category,Ref,CART_Precision,CART_Recall,CART_F1,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1
Basic,65,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,65,,,,,,,,,
Carbotite,65,,,,,,,,,
Ne-syenite,65,,,,,,,,,
Igneous,66,1.00 ,0.96 ,0.98 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,66,,,,,,,,,
Metamorphic,66,0.00 ,,,,,,,,
Acidic,66,0.49 ,1.00 ,0.66 ,1.00 ,1.00 ,1.00 ,0.90 ,1.00 ,0.95 
Intermediate,66,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.85 ,0.92 
Basic,66,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,66,,,,,,,,,
Carbotite,66,,,,,,,,,
Ne-syenite,66,,,,,,,,,
Igneous,67,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,67,,,,,,,,,
Metamorphic,67,,,,,,,,,
Acidic,67,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.97 ,0.99 
Intermediate,67,,,,,,,0.00 ,,
Basic,67,,,,,,,,,
Kimberlite,67,,,,,,,,,
Carbotite,67,,,,,,,,,
Ne-syenite,67,,,,,,,,,
Igneous,68,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,68,,,,,,,,,
Metamorphic,68,,,,,,,,,
Acidic,68,0.84 ,1.00 ,0.91 ,1.00 ,1.00 ,1.00 ,0.86 ,1.00 ,0.92 
Intermediate,68,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.15 ,0.27 
Basic,68,,,,,,,,,
Kimberlite,68,,,,,,,,,
Carbotite,68,,,,,,,,,
Ne-syenite,68,,,,,,,,,
Igneous,69,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,69,,,,,,,,,
Metamorphic,69,,,,,,,,,
Acidic,69,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,69,,,,,,,,,
Basic,69,,,,,,,,,
Kimberlite,69,,,,,,,,,
Carbotite,69,,,,,,,,,
Ne-syenite,69,,,,,,,,,
Igneous,70,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,70,,,,,,,,,
Metamorphic,70,,,,,,,,,
Acidic,70,0.60 ,1.00 ,0.75 ,1.00 ,1.00 ,1.00 ,0.89 ,0.91 ,0.90 
Intermediate,70,,0.00 ,,1.00 ,1.00 ,1.00 ,0.86 ,0.84 ,0.85 
Basic,70,,,,,,,,,
Kimberlite,70,,,,,,,,,
Carbotite,70,,,,,,,,,
Ne-syenite,70,,,,,,,,,
Igneous,72,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,72,,,,,,,,,
Metamorphic,72,,,,,,,,,
Igneous,73,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,73,,,,,,,,,
Metamorphic,73,,,,,,,,,
Igneous,74,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,74,,,,,,,,,
Metamorphic,74,,,,,,,,,
Acidic,74,0.80 ,1.00 ,0.89 ,1.00 ,1.00 ,1.00 ,0.97 ,0.99 ,0.98 
Intermediate,74,,0.00 ,,1.00 ,1.00 ,1.00 ,0.98 ,0.89 ,0.93 
Basic,74,,,,,,,,,
Kimberlite,74,,,,,,,,,
Carbotite,74,,,,,,,,,
Ne-syenite,74,,,,,,,,,
I,74,0.89 ,0.73 ,0.80 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
S,74,,,,,,,,,
A,74,,,,,,,,,
M,74,0.80 ,0.92 ,0.86 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,76,0.00 ,,,,,,,,
Hydrothermal,76,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Metamorphic,76,,,,,,,,,
Igneous,77,0.00 ,,,,,,,,
Hydrothermal,77,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Metamorphic,77,,,,,,,,,
Igneous,78,0.00 ,,,,,,,,
Hydrothermal,78,1.00 ,0.25 ,0.40 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Metamorphic,78,0.00 ,,,,,,,,
Igneous,80,0.00 ,,,,,,,,
Hydrothermal,80,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Metamorphic,80,,,,,,,,,
Igneous,82,0.00 ,,,,,,,,
Hydrothermal,82,1.00 ,0.71 ,0.83 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Metamorphic,82,,,,,,,,,
Igneous,83,,,,,,,,,
Hydrothermal,83,,,,,,,,,
Metamorphic,83,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,84,0.00 ,,,,,,,,
Hydrothermal,84,,,,,,,,,
Metamorphic,84,1.00 ,0.37 ,0.54 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,85,0.00 ,,,,,,0.00 ,,
